"Metric name","Metric type","Metric unit","Metric description","NVIDIA GeForce RTX 3060 Laptop GPU"
"lts__t_sectors_aperture_peer_op_write_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-first that missed","1"
"lts__t_sectors_aperture_peer_op_write_evict_last","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-last","1"
"lts__t_sectors_aperture_peer_op_write_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-last that hit","1"
"lts__t_sectors_aperture_peer_op_write_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-last that missed","1"
"lts__t_sectors_aperture_peer_op_write_evict_normal","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_peer_op_write_evict_normal_demote","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-normal-demote","1"
"lts__t_sectors_aperture_peer_op_write_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_peer_op_write_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_peer_op_write_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_peer_op_write_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_peer_op_write_lookup_hit","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes that hit","1"
"lts__t_sectors_aperture_peer_op_write_lookup_miss","Counter","sector","# of LTS sectors accessing peer memory (peermem) for writes that missed","1"
"lts__t_sectors_aperture_sysmem","Counter","sector","# of LTS sectors accessing system memory (sysmem)","1"
"lts__t_sectors_aperture_sysmem_evict_first","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-first","1"
"lts__t_sectors_aperture_sysmem_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-first that hit","1"
"lts__t_sectors_aperture_sysmem_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-first that missed","1"
"lts__t_sectors_aperture_sysmem_evict_last","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-last","1"
"lts__t_sectors_aperture_sysmem_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-last that hit","1"
"lts__t_sectors_aperture_sysmem_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-last that missed","1"
"lts__t_sectors_aperture_sysmem_evict_normal","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_sysmem_evict_normal_demote","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-normal-demote","1"
"lts__t_sectors_aperture_sysmem_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_sysmem_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_sysmem_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_sysmem_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_sysmem_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) that hit","1"
"lts__t_sectors_aperture_sysmem_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) that missed","1"
"lts__t_sectors_aperture_sysmem_op_atom","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics","1"
"lts__t_sectors_aperture_sysmem_op_atom_dot_alu","Counter","sector","# of LTS sectors accessing system memory (sysmem) for atomic ALU (non-CAS)","1"
"lts__t_sectors_aperture_sysmem_op_atom_dot_alu_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for atomic ALU (non-CAS) that hit","1"
"lts__t_sectors_aperture_sysmem_op_atom_dot_alu_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for atomic ALU (non-CAS) that missed","1"
"lts__t_sectors_aperture_sysmem_op_atom_dot_cas","Counter","sector","# of LTS sectors accessing system memory (sysmem) for atomic CAS","1"
"lts__t_sectors_aperture_sysmem_op_atom_dot_cas_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for atomic CAS that hit","1"
"lts__t_sectors_aperture_sysmem_op_atom_dot_cas_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for atomic CAS that missed","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_first","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-first","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-first that hit","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-first that missed","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_last","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-last","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-last that hit","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-last that missed","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_normal","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_normal_demote","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-normal-demote","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_sysmem_op_atom_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_sysmem_op_atom_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics that hit","1"
"lts__t_sectors_aperture_sysmem_op_atom_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for all atomics that missed","1"
"lts__t_sectors_aperture_sysmem_op_membar","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_first","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-first","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-first that hit","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-first that missed","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_last","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-last","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-last that hit","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-last that missed","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_normal","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_normal_demote","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-normal-demote","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_sysmem_op_membar_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_sysmem_op_membar_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers that hit","1"
"lts__t_sectors_aperture_sysmem_op_membar_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for memory barriers that missed","1"
"lts__t_sectors_aperture_sysmem_op_read","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_first","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-first","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_first_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-first that hit","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_first_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-first that missed","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_last","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-last","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_last_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-last that hit","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_last_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-last that missed","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_normal","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-normal (LRU)","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_normal_demote","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-normal-demote","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_normal_demote_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-normal-demote that hit","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_normal_demote_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-normal-demote that missed","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_normal_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-normal (LRU) that hit","1"
"lts__t_sectors_aperture_sysmem_op_read_evict_normal_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads marked evict-normal (LRU) that missed","1"
"lts__t_sectors_aperture_sysmem_op_read_lookup_hit","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads that hit","1"
"lts__t_sectors_aperture_sysmem_op_read_lookup_miss","Counter","sector","# of LTS sectors accessing system memory (sysmem) for reads that missed","1"
